Value,Weight
Kali,30
Kalia,7
Kaliah,8
Kalila,5
Kalilah,5
Kalina,18
Kaliyah,25
Kalli,8
Kallie,29
Kalliope,3
Kalliopi,3
Kamaiyah,3
Kamala,5
Kamara,3
Kamelia,4
Kami,4
Kamila,19
Kamilah,6
Kamile,11
Kamilla,11
Kamiya,3
Kamiyah,13
Kamsi,4
Kamsiyochukwu,6
Kaneez,3
Kani,5
Kanisha,5
Kanvi,4
Kaori,4
Kara,66
Karam,3
Kareena,4
Karen,7
Karima,9
Karin,7
Karina,59
Karis,12
Karishma,3
Karissa,4
Karla,11
Karli,3
Karma,4
Karmen,6
Karolina,15
Kasarachi,3
Kasey,9
Kashaf,4
Kashvi,9
Kasia,9
Kassandra,11
Kassidy,3
Katalea,9
Kataleya,12
Katalina,3
Katarina,10
Katarzyna,4
Kate,51
Katelyn,13
Katerina,24
Katherina,3
Katherine,88
Kathleen,35
Kathryn,23
Kati,3
Katia,4
Katie,147
Katie-Leigh,3
Katie-Louise,3
Katrin,5
Katrina,16
Katy,10
Katya,4
Kavya,7
Kawthar,13
Kawther,3
Kaya,65
Kayah,5
Kayal,10
Kayan,7
Kayanna,3
Kaycee,7
Kaycie,6
Kayda,4
Kaydence,3
Kayla,126
Kayla-Mae,3
Kaylah,4
Kaylani,4
Kaylee,24
Kayleigh,18
Kayley,6
Kaylin,4
Kayra,17
Kayrah,3
Kazi,5
Keala,3
Keana,6
Keeley,9
Keely,3
Keerat,18
Keeva,19
Kehinde,3
Kehlani,37
Kehlani-Reign,3
Keiko,3
Keila,4
Keilani,7
Keira,147
Keisha,9
Keita,5
Kelia,3
Kelly,20
Kelsey,22
Kelsi,3
Kelsie,11
Kendal,14
Kendall,42
Kendra,16
Kenisha,6
Kenley,3
Kenna,9
Kennedy,24
Kensi,3
Kensley,3
Kenya,9
Kenza,35
Kenzi,9
Kenzie,21
Kenzie-Leigh,4
Kenzy,3
Keona,4
Keren,9
Kerensa,4
Kerenza,3
Kerry,4
Keshvi,5
Kesia,4
Kesiena,3
Keturah,6
Keva,3
Keyana,3
Keyanna,3
Keyla,8
Kezia,14
Keziah,38
Khadeeja,10
Khadeejah,32
Khadija,268
Khadijah,192
Khadiza,3
Khaira,15
Khairah,9
Khalani,5
Khaleah,3
Khaleesi,33
Khalia,8
Khalila,5
Khalilah,8
Khalisah,3
Khaliya,3
Khaliyah,5
Khansa,6
Khari,4
Khawla,5
Khawlah,19
Khayrah,3
Khiana,3
Khiara,4
Khirad,4
Khivi,3
Khloe,31
Khushi,17
Khyra,3
Kiah,6
Kiana,64
Kianna,12
Kiara,213
Kiara-Mae,4
Kiara-Rose,5
Kiarah,6
Kiari,4
Kiarna,3
Kiera,51
Kika,5
Kiki,29
Kikiola,3
Kim,7
Kimani,3
Kimaya,8
Kimberley,24
Kimberly,19
Kimia,5
Kimora,4
Kimran,7
Kimyah,3
Kinga,4
Kingsley,3
Kinley,4
Kinsi,3
Kinsley,8
Kinsley-Mae,3
Kinza,42
Kira,87
Kiran,8
Kirat,14
Kiri,7
Kirpa,5
Kirsten,3
Kirsty,6
Kiswa,5
Kiswah,6
Kit,8
Kitana,3
Kitti,3
Kitty,54
Kiva,4
Kiya,10
Kiyah,7
Kiyana,13
Kiyara,23
Kiyomi,6
Kizzy,4
Klara,118
Klaudia,17
Klea,13
Kleio,5
Kleo,8
Koa,13
Kodie,6
Koko,4
Konstantina,3
Kora,27
Kori,4
Kornelia,35
Kornelija,3
Korra,3
Kosisochukwu,3
Kotryna,5
Kourtney,3
Kowsar,3
Krisha,23
Krishika,4
Krishna,6
Krishnavi,3
Krishvi,3
Kristen,4
Kristiana,6
Kristina,17
Kriti,6
Kritika,3
Kriva,7
Krystal,10
Krystyna,3
Ksenia,4
Kubra,5
Kudrat,3
Kulsum,3
Kya,6
Kyah,3
Kyanna,6
Kyara,12
Kyda,3
Kyla,62
Kyla-Mae,3
Kyla-Rae,4
Kyla-Rose,3
Kylah,18
Kylah-Mae,3
Kylie,33
Kyomi,6
Kyra,110
Kyra-Rose,3
Kyrah,13
Kyrie,6
La'Rayah,3
Laaibah,4
Labiba,3
Lacey,149
Lacey-Mae,17
Lacey-Mai,9
Lacey-May,6
Laci,6
Lacie,33
Lacie-Grace,3
Lacie-Mae,12
Lacie-Mai,5
Lacy,8
Lael,9
Laela,4
Laia,9
Laiba,62
Laibah,3
Laila,155
Laila-Mae,3
Laila-Mai,3
Lailah,15
Laina,8
Lainey,53
Lainey-Mae,3
Lainie,4
Laisa,4
Laiya,4
Lake,3
Lakeisha,3
Lakshmi,6
Lalita,4
Lama,5
Lamaisah,7
Lamar,8
Lamara,3
Lamaya,3
Lamees,10
Lamia,4
Lamiah,6
Lamis,3
Lamisah,3
Lamiya,3
Lamiyah,5
Lamorna,6
Lana,219
Lana-Mae,3
Lana-Rae,3
Lana-Rose,5
Lanae,5
Lanah,6
Lanaya,3
Lane,4
Laney,9
Lani,20
Laniyah,6
Lanna,3
Lara,539
Lara-Jane,3
Larae,4
Laraib,8
Laraya,6
Lareen,16
Larisa,14
Larissa,23
Lariyah,5
Lark,7
Larna,16
Larosa,23
Latifa,12
Latifah,7
Laura,284
Laure,3
Laurel,16
Laurelle,3
Lauren,69
Laurie,29
Lauryn,4
Lava,4
Lavannah,3
Lavanya,3
Laveah,3
Lavelle,3
Lavender,13
Laveyah,6
Lavin,14
Lavinia,50
Lavya,3
Laya,20
Layaan,7
Layah,10
Layal,18
Layali,3
Layan,72
Layana,12
Layla,917
Layla-Anne,6
Layla-Grace,13
Layla-Mae,26
Layla-Mai,4
Layla-Marie,6
Layla-May,10
Layla-Rae,10
Layla-Rose,55
Laylaa,3
Laylah,17
Layna,5
Layne,12
Laynie,5
Lea,69
Leah,346
Leah-Rose,9
Leala,4
Leana,4
Leandra,11
Leanna,20
Leanne,14
Learta,3
Leda,4
Leea,8
Leela,42
Leen,31
Leena,68
Leenah,4
Leera,3
Leia,109
Leia-Jane,3
Leia-Rose,3
Leigh,3
Leigh-Anna,3
Leighla,4
Leila,217
Leila-Rose,5
Leilah,12
Leilani,57
Leja,21
Lela,9
Lelia,6
Lena,229
Lenaya,4
Lenayah,3
Leni,41
Lenka,3
Lenna,4
Lenni,4
Lennie,12
Lennon,31
Lennox,13
Lenny,4
Lenora,8
Leola,3
Leona,46
Leoni,3
Leonie,48
Leonor,31
Leonora,39
Leora,9
Leticia,15
Letitia,3
Letizia,3
Lettie,33
Letty,13
Leusa,4
Levana,3
Levi,3
Lewhat,4
Lexi,280
Lexi-Jane,3
Lexi-Leigh,3
Lexi-Lou,4
Lexi-Mae,21
Lexi-Mai,7
Lexi-Marie,4
Lexi-May,8
Lexi-Rae,12
Lexi-Rose,14
Lexie,100
Lexie-Leigh,3
Lexie-Louise,3
Lexie-Mae,4
Lexie-Mai,3
Lexy,3
Leya,32
Leyan,5
Leyana,10
Leyla,99
Leylani,3
Leyna,3
Lia,118
Liah,4
Lian,14
Liana,87
Liane,3
Lianna,11
Liara,13
Liba,3
Libbi,3
Libbie,8
Libby,145
Libby-Mae,3
Liberty,63
Liberty-Rose,6
Libi,3
Lida,3
Lidia,22
Lidya,11
Lielle,6
Liepa,9
Lila,211
Lila-Mae,3
Lila-Rose,6
Lilac,15
Lilah,299
Lilah-Grace,4
Lilah-Mae,17
Lilah-Mai,3
Lilah-May,3
Lilah-Rae,10
Lilah-Rose,17
Lile,3
Lilee,3
Lili,57
Lilia,97
Liliah,3
Lilian,63
Liliana,245
Liliane,4
Lilianna,49
Lilibet,8
Lilibeth,6
Lilie,3
Lilien,5
Lilith,72
Lilith-Rose,4
Liliwen,8
Liliya,5
Lilja,3
Lilla,9
Lilli,7
Lillia,27
Lilliah,3
Lillian,123
Lilliana,38
Lillianna,12
Lillianne,4
Lillie,264
Lillie-Ann,7
Lillie-Grace,7
Lillie-Mae,34
Lillie-Mai,5
Lillie-May,11
Lillie-Rae,12
Lillie-Rose,31
Lillith,8
Lilly,551
Lilly-Ann,10
Lilly-Anna,4
Lilly-Anne,9
Lilly-Grace,7
Lilly-Louise,3
Lilly-Mae,51
Lilly-Mai,4
Lilly-Marie,4
Lilly-May,34
Lilly-Rae,8
Lilly-Rose,41
Lilly-Sue,4
Lillyarna,3
Lilou,9
Lily,2182
Lily-Ann,20
Lily-Anne,9
Lily-Ella,3
Lily-Grace,15
Lily-Jean,3
Lily-June,3
Lily-Mae,77
Lily-Mai,13
Lily-May,45
Lily-Rae,15
Lily-Rose,119
Lilya,12
Lilyan,6
Lilyana,17
Lilyann,5
Lilyanna,7
Lilybelle,4
Lilymae,5
Lilyrose,5
Lima,17
Lin,3
Lina,126
Linda,23
Linh,5
Linnea,9
Liona,4
Liora,5
Lira,7
Lisa,49
Lisa-Marie,7
Lisette,5
Lisha,3
Lissy,3
Liucija,3
Liv,19
Livi,8
Livia,116
Livie,4
Livjot,4
Livvie,7
Livvy,14
Livy,5
Liwia,10
Liwsi,3
Liya,59
Liyaana,9
Liyaanah,7
Liyah,9
Liyan,4
Liyana,272
Liyanah,17
Liyanna,5
Liyat,4
Liz,21
Liza,17
Lizzie,14
Lizzy,4
Lleucu,3
Llian,3
Loa,3
Logan,10
Lois,158
Lojain,6
Lola,807
Lola-Belle,4
Lola-Grace,4
Lola-Louise,5
Lola-Mae,23
Lola-Mai,8
Lola-May,6
Lola-Rae,11
Lola-Rose,34
Lolah,6
Lolia,3
Lollie,4
London,13
Londyn,5
Lonnie,5
Lora,17
Lorelai,37
Lorelei,32
Lorella,5
Loren,6
Lorena,39
Lorenna,8
Lorenza,4
Loretta,23
Lori,18
Lorin,6
Lorna,20
Lorraine,4
Loti,11
Lotta,4
Lotte,4
Lotti,12
Lottie,954
Lottie-Ann,5
Lottie-Grace,4
Lottie-Lou,6
Lottie-Louise,4
Lottie-Mae,33
Lottie-Mai,5
Lottie-May,10
Lottie-Rae,8
Lottie-Rose,11
Lotty,3
Lotus,6
Lou,3
Louanna,3
Louella,13
Louisa,66
Louise,53
Louisiana,8
Loukia,3
Love,6
Loveday,10
Lovella,3
Lovelle,3
Lovisa,3
Lowen,5
Lowena,4
Lowenna,32
Lowri,41
Loxie,6
Loxley,3
Loza,3
Lua,10
Luana,30
Luanna,3
Lubaba,3
Luca,7
Lucca,5
Luce,4
Luchia,3
Luci,3
Lucia,224
Luciana,25
Lucianna,7
Lucie,109
Lucille,15
Lucinda,13
Lucja,7
Lucy,607
Lucy-Rose,4
Ludovica,5
Luella,54
Luisa,45
Luiza,16
Lujain,19
Lujane,3
Luka,12
Lukne,8
Lukrecija,3
Lula,43
Lulah,7
Lulu,31
Lulwa,3
Lumi,19
Luna,1261
Luna-Belle,6
Luna-Grace,4
Luna-Joy,4
Luna-June,3
Luna-Mae,22
Luna-May,6
Luna-Rae,43
Luna-Rai,3
Luna-Ray,3
Luna-Rose,36
Lunar,11
Lunara,4
Lunna,3
Lux,7
Lya,4
Lyana,11
Lyanna,9
Lydia,358
Lydia-Rose,7
Lyla,667
Lyla-Blue,3
Lyla-Louise,4
Lyla-Mae,27
Lyla-Mai,6
Lyla-May,6
Lyla-Rae,23
Lyla-Rose,38
Lylah,85
Lylah-Mae,4
Lylah-Rae,3
Lylah-Rose,4
Lylia,4
Lyra,630
Lyra-Mae,5
Lyra-Rose,5
Lyrah,3
Lyric,5
Maahi,22
Maame,10
Maanvi,4
Maanya,5
Maariya,5
Maariyah,8
Maaya,3
Mabel,885
Mabel-Mae,5
Mabel-Rose,6
Mabelle,6
Mable,8
Mabli,46
Macey,59
Macey-Mae,3
Maci,20
Maci-Rae,3
Macie,100
Macie-Leigh,4
Macie-Mae,5
Macie-Mai,4
Macie-Rae,5
Mackenzie,25
Macy,53
Madalena,11
Maddi,4
Maddie,113
Maddie-Mae,6
Maddison,452
Maddison-Leigh,7
Maddison-Mae,3
Maddison-Mai,3
Maddison-May,4
Maddison-Rae,5
Maddison-Rose,8
Maddox,5
Maddy,3
Madeeha,9
Madelaine,3
Madeleine,161
Madeline,112
Madelyn,29
Madelynn,7
Madi,9
Madiha,39
Madilyn,3
Madina,37
Madinah,12
Madison,308
Madison-Rae,3
Madisyn,4
Madlen,3
Mae,91
Maebel,3
Maebh,6
Maelie,6
Maella,3
Maelle,6
Maely,3
Maelys,3
Maeva,226
Maeve,654
Maevi,3
Maevis,4
Mafalda,4
Magdalena,19
Maggie,276
Maggie-Ann,3
Maggie-Mae,8
Maggie-Mai,4
Maggie-May,8
Maggie-Rose,6
Magi,6
Magnolia,6
Maha,30
Mahala,5
Mahalia,11
Maham,18
Mahdiya,10
Maheen,22
Maheera,3
Mahi,23
Mahima,4
Mahira,42
Mahirah,4
Mahlia,3
Mahnoor,62
Mahreen,7
Mahri,4
Mahsa,11
Mahum,5
Mahveen,3
Mai,12
Maia,243
Maia-Rose,3
Maiah,3
Maida,17
Maidah,5
Maila,7
Mailey,3
Maily,13
Maimoona,3
Maimouna,3
Maimuna,12
Maimunah,6
Mair,5
Maira,79
Mairah,12
Mairead,7
Mairi,4
Mais,3
Maisa,10
Maisey,25
Maisha,10
Maisie,1229
Maisie-Anne,3
Maisie-Grace,10
Maisie-Leigh,8
Maisie-Mae,13
Maisie-Mai,4
Maisie-Marie,3
Maisie-Rae,9
Maisie-Rose,5
Maissa,3
Maisy,107
Maita,4
Maite,3
Maive,5
Maiya,32
Maiyah,3
Maiza,5
Maizah,4
Maize,4
Maizie,17
Maja,149
Majesty,4
Makayla,21
Makenna,3
Makkah,5
Mala,11
Malaak,3
Malaika,55
Malaikah,9
Malaiya,5
Malaiyah,3
Malak,39
Malan,3
Malavika,3
Malaya,31
Malayah,14
Malaysia,4
Malaz,3
Malea,3
Maleah,8
Maleeha,20
Maleeka,5
Maleia,3
Malena,3
Malgorzata,6
Mali,85
Malia,58
Malia-Rose,4
Maliah,8
Malie,3
Maliha,45
Malika,42
Malikah,6
Malin,5
Malina,6
Maliya,8
Maliyah,34
Malka,15
Malki,3
Malky,10
Mallie,6
Mallory,22
Malvina,4
Malwina,5
Mame,5
Mana,4
Manaal,16
Manahil,14
Manal,17
Manar,3
Manasvi,4
Manat,3
Manessa,3
Manha,59
Manisa,4
Mankirat,5
Manmeet,4
Mannat,30
Manon,21
Manraj,4
Manreet,10
Manroop,3
Manrose,3
Mansa,5
Manseerat,3
Mansirat,9
Manuela,12
Manveer,3
Manvi,6
Manya,5
Maple,18
Mar,4
Mara,97
Marah,3
Maral,4
Maranatha,4
Marcela,8
Marcelina,24
Marceline,10
Marcella,26
Marcey,5
Marcia,10
Marcie,60
Marcie-Mae,3
Marcy,10
Mared,5
Marella,3
Maren,6
Margaret,106
Margarida,8
Margarita,13
Margaux,96
Margherita,5
Margo,103
Margot,892
Marguerite,4
Mari,36
Maria,682
Maria-Rose,3
Mariah,22
Mariam,155
Mariama,13
Mariamawit,6
Mariame,3
Marian,5
Mariana,29
Marianna,22
Marianne,27
Marie,34
Mariel,3
Mariella,19
Mariem,4
Marietta,3
Marigold,12
Marija,3
Marika,13
Marilyn,17
Marin,4
Marina,64
Marinela,4
Marion,6
Marisa,13
Marissa,14
Mariya,25
Mariyah,15
Mariyam,20
Mariyyah,3
Marjan,3
Marjorie,7
Markan,3
Marla,49
Marlee,29
Marlee-Rose,3
Marleigh,17
Marlena,4
Marlene,8
Marley,133
Marley-Mae,3
Marley-Rose,4
Marli,16
Marlia,7
Marliah,5
Marlie,53
Marlie-Mae,7
Marlie-Rose,3
Marliya,16
Marliya-Rose,5
Marlo,8
Marlow,10
Marlowe,72
Marna,3
Marney,3
Marni,31
Marni-Mai,3
Marnie,409
Marnie-Grace,3
Marnie-Leigh,4
Marnie-Mae,18
Marnie-Marie,4
Marnie-Rae,10
Marnie-Rose,12
Mars,3
Marta,34
Martha,505
Martha-Rose,3
Martina,53
Martyna,20
Marvella,3
Marwa,105
Marwah,18
Mary,148
Mary-Anne,5
Mary-Ellen,4
Mary-Jane,11
Mary-Jayne,3
Mary-Kate,5
Mary-Lou,3
Mary-Louise,3
Mary-Rose,3
Marya,6
Maryam,621
Maryama,10
Maryan,6
Maryann,15
Maryanne,4
Marykate,4
Masa,17
Masal,6
Masha,3
Masie,6
Masooma,7
Matea,6
Mathilda,26
Mathilde,14
Matida,4
Matilda,1437
Matilda-May,4
Matilda-Rose,13
Matilde,24
Matipa,3
Mattea,3
Matti,3
Matylda,29
Maud,10
Maude,5
Maura,5
Maureen,3
Mave,3
Maven,7
Mavi,3
Mavie,16
Mavis,34
Mavleen,3
Mawa,3
Mawada,12
Mawadah,3
Mawgan,3
Max,3
Maxima,3
Maxine,11
May,59
Maya,1433
Maya-Elena,3
Maya-Grace,5
Maya-Leigh,4
Maya-Mae,5
Maya-Rose,27
Mayah,16
Mayan,9
Mayar,16
Mayara,4
Maybel,5
Maybelle,3
Mayla,13
Maylee,7
Maymuna,11
Maymunah,17
Mayra,24
Maysa,35
Maysaa,3
Maysam,4
Maysarah,3
Mayssa,4
Mayumi,4
Maze,6
Mazie,7
Mazikeen,17
Mckayla,3
Mckenna,9
Mckenzie,14
Meabh,25
Meadow,133
Meadow-Rose,5
Medea,4
Medeea,33
Medha,3
Medi,12
Medina,39
Medine,3
Meeka,4
Meela,9
Meelah,3
Meena,5
Meera,27
Meerab,12
Meeram,4
Meg,5
Megan,144
Megha,3
Meghan,25
Mehak,7
Mehar,29
Mehek,6
Meher,23
Mehr,9
Mehreen,27
Mehrish,8
Mehrmah,4
Mehrunisa,4
Mehwish,7
Mei,15
Meida,3
Meila,18
Meilani,3
Meile,3
Meili,3
Meira,6
Meklit,6
Melaher,10
Melani,3
Melania,41
Melanie,44
Melany,6
Melea,3
Meleah,3
Melek,26
Melia,15
Meliha,3
Melina,37
Melinda,8
Melis,13
Melisa,55
Melissa,188
Melita,9
Meliyah,4
Melodi,3
Melodie,16
Melody,158
Melody-Rose,6
Memphis,9
Mena,4
Menaal,11
Menna,9
Merab,11
Meral,6
Mercedes,10
Mercie,3
Mercy,20
Meredith,79
Meriam,7
Merida,14
Meriel,3
Meriem,5
Merina,5
Merryn,44
Meryam,3
Meryem,20
Meryl,5
Meryn,5
Meva,3
Meya,6
Meyra,4
Mhairi,5
Mhari,3
Mia,2168
Mia-Grace,11
Mia-Louise,8
Mia-Mae,12
Mia-Marie,3
Mia-May,4
Mia-Rae,7
Mia-Rose,64
Miabella,4
Miah,33
Miami,4
Miami-Rose,3
Micaela,5
Micah,5
Micaiah,4
Michaela,53
Michaella,5
Michal,3
Michalina,30
Michelle,89
Miela,4
Migle,3
Mihaela,11
Mihrimah,6
Mika,21
Mikaela,27
Mikaella,4
Mikayla,37
Miki,3
Miko,3
Mila,1133
Mila-Mae,9
Mila-May,6
Mila-Rae,9
Mila-Rose,29
Milah,15
Milan,36
Milana,83
Milani,26
Milania,8
Milaya,3
Milda,4
Mildred,3
Mileja,7
Milena,67
Miley,156
Miley-Mae,8
Miley-Rae,3
Miley-Rose,3
Mili,7
Miliana,5
Milita,12
Milla,27
Millan,3
Miller,5
Milli,4
Millicent,57
Millie,1472
Millie-Grace,6
Millie-Jayne,3
Millie-Jean,3
Millie-Louise,3
Millie-Mae,54
Millie-Mai,7
Millie-Marie,3
Millie-May,8
Millie-Rae,17
Millie-Rose,32
Milly,67
Milou,4
Mima,3
Mimi,38
Mina,61
Minaal,12
Minahil,71
Minal,17
Mindy,8
Minerva,13
Minha,74
Minna,3
Minnah,5
Minni,3
Minnie,107
Minnie-Mae,3
Minnie-Mai,4
Minnie-Marie,3
Minnie-Rose,4
Minsa,11
Mio,4
Mira,85
Miraal,22
Mirabel,13
Mirabella,5
Mirabelle,14
Miracle,18
Mirai,3
Mirain,3
Miral,18
Miranda,13
Miray,11
Miraya,8
Mireille,5
Mirel,3
Mirela,4
Mirella,5
Mireya,22
Mirha,218
Miri,17
Miriam,172
Miroslava,6
Mirra,3
Mirren,3
Miruna,40
Miryam,8
Misbah,3
Mischa,4
Misha,17
Mishaal,5
Mishal,15
Mishel,3
Mishika,10
Mishka,14
Mishti,6
Misk,10
Missie,7
Missy,12
Misty,14
Mithra,5
Mithura,3
Mitra,3
Miya,85
Miya-Rose,8
Miyah,25
Miyah-Rose,4
Miylah,6
Moana,9
Moira,8
Moksha,5
Moli,8
Mollie,374
Mollie-Mae,23
Mollie-Mai,4
Mollie-May,4
Mollie-Rae,7
Mollie-Rose,9
Molly,729
Molly-Mae,21
Molly-May,7
Molly-Rose,7
Momina,23
Mona,18
Monae,14
Monet,6
Monia,3
Monica,31
Monika,22
Monroe,42
Montana,17
Morayo,6
Moremi,3
Morena,3
Morgan,73
Morgana,7
Moriah,12
Morireoluwa,3
Morrigan,7
Morven,3
Morwenna,11
Mumtaz,7
Muna,4
Munachimso,10
Munachiso,3
Muneera,3
Munira,9
Munirah,3
Muntaha,26
Murael,7
Muriel,3
Murphy,16
Musfira,3
Musfirah,7
Mushtaq,3
Muskaan,10
Muskan,5
Mya,280
Mya-Mae,3
Mya-Rae,5
Mya-Rose,12
Myah,84
Myah-Rose,6
Myia,5
Myka,3
Myla,602
Myla-Grace,5
Myla-Mae,29
Myla-Mai,4
Myla-May,6
Myla-Rae,15
Myla-Rose,41
Mylah,86
Mylah-Grace,3
Mylah-Rose,7
Mylee,10
Myleigh,4
Mylie,9
Mylor,3
Myra,86
Myrah,12
Myriam,8
Myrtle,3
Mysha,9
Myza,3
Naa,4
Naavya,3
Naaya,3
Naba,9
Nabeeha,6
Nabeela,3
Nabiha,13
Nabila,7
Nada,11
Nadia,169
Nadine,23
Nadira,3
Nadiya,3
Naevia,3
Nafas,5
Nafeesa,5
Nafeesah,5
Nafisa,15
Nahla,39
Nai,3
Naia,40
Naiara,3
Naila,49
Nailah,24
Naima,16
Naimah,3
Naimal,10
Naina,12
Naira,29
Nairobi,8
Naisha,4
Naiya,10
Naiza,8
Najma,8
Nakai,3
Nala,102
Nala-Mae,4
Nala-Rae,3
Nala-Rose,7
Nalah,10
Nalain,3
Nalani,9
Nalaya,3
Nalayah,3
Naleyah,3
Namasvi,3
Nana,15
Nana-Hemaa,3
Nanci,5
Nancie,52
Nancie-Rae,3
Nancy,797
Nancy-Grace,3
Nancy-Mae,5
Nancy-Marie,3
Nancy-Rae,13
Nancy-Rose,9
Nandi,5
Nandini,3
Nansi,44
Nanw,6
Naomi,313
Naomi-Grace,3
Naomie,4
Nara,20
Nariah,9
Narin,4
Nariyah,11
Narjis,3
Narla,18
Nasreen,3
Natalia,220
Natalia-Rose,4
Natalie,94
Natalina,3
Nataliya,4
Nataly,3
Natalya,6
Natania,5
Natasha,46
Nathalia,6
Nathalie,4
Nathania,6
Nava,4
Navaeh,6
Navaya,4
Navey,6
Naveya,6
Navie,13
Navie-Grace,4
Navira,3
Navreet,4
Navy,39
Navy-Rae,3
Navy-Rose,3
Navya,21
Nawal,16
Naya,91
Naya-Rose,3
Nayaab,4
Nayah,7
Nayana,9
Nayara,6
Nayeli,10
Nayla,35
Naylah,6
Nayra,6
Naysa,3
Nayvee,3
Naz,15
Nazia,8
Naziha,3
Nazli,12
Ndey,3
Neama,3
Neave,61
Nebula,3
Nechama,10
Nectaria,4
Neda,6
Neela,5
Neema,3
Neev,5
Neeva,16
Neeve,13
Nefeli,27
Negin,7
Neha,12
Nehal,5
Nehir,5
Neila,4
Neive,20
Nel,43
Nela,78
Neli,13
Nelia,3
Neliya,3
Nell,160
Nella,52
Nelle,29
Nelli,4
Nellie,506
Nellie-Grace,6
Nellie-Lou,3
Nellie-Mae,15
Nellie-Mai,3
Nellie-May,5
Nellie-Rae,10
Nellie-Rose,14
Nelliel,3
Nelly,186
Nelly-Mae,4
Nelly-Rose,4
Nelsie,3
Nelya,3
Neneh,3
Neomi,3
Nephele,9
Nepheli,3
Nerea,4
Neriah,48
Neriyah,8
Nerys,4
Neslihan,3
Nessa,6
Nesta,8
Neva,13
Nevada,6
Nevae,3
Nevaeh,488
Nevaeh-Grace,13
Nevaeh-Hope,3
Nevaeh-Leigh,4
Nevaeh-Mae,11
Nevaeh-Mai,6
Nevaeh-May,3
Nevaeh-Rae,7
Nevaeh-Rose,28
Nevaya,5
Nevayah,5
Neve,172
Neveah,35
Nevena,4
Neyla,7
Nhyira,3
Nia,164
Niah,17
Niamh,362
Niara,8
Nichelle,3
Nico,6
Nicol,10
Nicola,26
Nicole,181
Nicoleta,11
Nicoletta,3
Nicolette,3
Nicolle,11
Nida,10
Nidhi,5
Nieva,4
Nieve,35
Nihal,3
Nihan,5
Niharika,5
Nihira,4
Nika,15
Niki,7
Nikita,19
Nikki,4
Nikol,14
Nikola,39
Nikole,7
Nikoleta,6
Nil,5
Nila,33
Nilah,6
Nilay,4
Nile,4
Nili,3
Nima,3
Nimar,3
Nimra,5
Nimrah,8
Nimrat,26
Nimrit,8
Nimue,7
Nina,360
Nirvana,17
Nirvana-Rose,3
Nisa,12
Nisha,7
Nishka,5
Nissi,5
Nitya,3
Niva,7
Nixie,7
Niya,36
Niyah,30
Niylah,4
Niyyah,7
Nma,3
Nnenna,4
Nneoma,4
Noa,179
Noah,12
Noela,7
Noelia,8
Noella,14
Noelle,37
Noemi,33
Noemie,8
Noha,7
Nola,249
Nola-Rose,3
Nolah,7
Nomi,5
Nona,5
Noor,177
Noor-Fatima,7
Noor-Fatimah,3
Noor-Ul-Ain,9
Noora,21
Noorah,7
Noorain,3
Nooreh,3
Noorie,3
Nooriyah,5
Noorseen,4
Noorulain,4
Nor,3
Nora,406
Norah,176
Noreen,4
Nori,13
Norie,10
Norina,3
Noriza,3
Norma,5
North,3
Nour,40
Noura,41
Nourah,10
Nouran,3
Nouri,6
Nova,506
Nova-Grace,6
Nova-Leigh,13
Nova-Mae,9
Nova-May,5
Nova-Rae,16
Nova-Rose,8
Novah,30
Novah-Rae,3
Novaleigh,3
Novella,6
Novie,4
Nuala,41
Nubia,4
Nuha,32
Nula,6
Nur,23
Nura,23
Nurah,15
Nuralain,3
Nuri,4
Nuria,9
Nuriyah,5
Nusaiba,12
Nusaibah,9
Nusayba,12
Nusaybah,74
Nusrat,4
Nya,19
Nyah,34
Nyara,4
Nyha,3
Nyla,236
Nyla-Mae,9
Nyla-Rae,9
Nyla-Rose,29
Nylah,165
Nylah-Mae,4
Nylah-Rae,5
Nylah-Rose,12
Nyra,64
Nyree,3
Nyssa,3
Nyx,8
Nyza,5
Oaklee,3
Oakleigh,27
Oakley,52
Oakley-Rose,3
Oaklyn,5
Oaklynn,8
Ocean,142
Ocean-Bleu,3
Ocean-Blu,6
Ocean-Leigh,5
Ocean-Mae,4
Ocean-Rae,8
Ocean-Rose,8
Oceana,17
Oceane,4
Oceanna,4
Ocie,7
Octavia,123
Odelia,6
Odessa,13
Odette,30
Ofelia,11
Oghenemaro,3
Ohana,5
Ohemaa,5
Oksana,3
Ola,15
Olamide,5
Olanna,7
Olga,6
Olimpia,3
Olina,4
Olive,691
Olivia,3649
Olivia-Grace,32
Olivia-Jade,3
Olivia-Jane,7
Olivia-Leigh,3
Olivia-Louise,6
Olivia-Mae,23
Olivia-Mai,6
Olivia-May,11
Olivia-Rae,14
Olivia-Rose,67
Olivija,9
Oliwia,91
Oluwadabira,4
Oluwadamilola,5
Oluwadarasimi,18
Oluwademilade,3
Oluwalonimi,3
Oluwanifemi,3
Oluwasemilore,4
Oluwashindara,3
Oluwatamilore,6
Oluwateniola,4
Oluwatofunmi,4
Oluwatomisin,4
Oluwatoni,6
Olwen,10
Olympia,30
Olyvia,3
Omaya,6
Omolara,3
Omolola,3
Omotola,3
Ona,5
Onika,3
Onora,3
Onyinye,3
Onyx,6
Oona,38
Oonagh,14
Opal,31
Ophelia,433
Ophelia-Rae,3
Ophelia-Rose,4
Ophelie,3
Ophir,3
Ophira,3
Ora,6
Orelia,7
Oreoluwa,5
